ID,text,source_type,subject,topic,keywords,chapter,title,,冊數,待辦備註
1,| | |<br>| :--- | :--- |<br>| **分布區域** | 主要位於南太平洋群島，包括臺灣、海南島、越南南部、菲律賓、馬來群島，東達南美洲西方的復活節島，西到東非外海的馬達加斯加島，南抵紐西蘭 |<br>| **人口數** | 約3億多人 |<br>| **學理根據：語言上的同源詞** | 同源詞是指來自於同一個語源的詞彙，彼此間有著近乎相同的語意與密切關聯的語音，可藉此辨別南島語言間的親屬關係，甚至推測出過去與現在使用這些語言的族群的起源、分布、遷徙、人文活動、地理環境以及氣候狀況等。例如「藤、竹、芋頭、小米」等語詞，都是熱帶或亞熱帶的植物，可以推論該語族在此範圍內 |<br>| **臺灣原住民與南島語族的關聯** | 臺灣各原住民族的語言不僅互有關聯性，也與太平洋、印度洋島嶼上的民族使用的語言具有親屬關係。因此被學術界歸類為「南島語族」 |<br>| **觀念釐清** | 南島語族分布的範圍內，也有部分族群使用非南島語族的語言，例如臺灣除原住民各族語言外，亦有閩南語、客語等漢語方言 |<br><br>【改寫自：〈平埔族隸屬的大家庭—南島語族〉，中央研究院數位典藏 http://ianthro.ioe.sinica.edu.tw】,teachers_book,原住民,文化,"[南島語族, 同源詞, 臺灣原住民, 語言, 遷徙]",V.1/Ch.1/臺灣的原住民族,「南島語族」的共通性,,第一冊,最後text、title的中文標點符號要改成全形
2,有關南島民族的起源，除最受支持的「臺灣起源論」外，學界也存在不同看法。例如考古專家也發現，海南島東南部海岸出土的新石器時代遺址，與臺灣同時期的遺址十分相似。專家指出，這表示它們很有可能都來自共同的早期文化傳統，由此可說明南島語系可能經由中國華南到中南半島，再擴散至太平洋諸島嶼，這為南島語系「多元路徑擴散論」提供了更多證據，臺灣可能並非唯一出口。此外，南島語族至今仍流行的「樹皮布文化」，根據樹皮布原料構樹的 DNA 鑑定結果，華南與臺灣均為構樹遺傳多樣性最高的地區，足以說明南島語族的起源應不只有臺灣，也涵括華南地區。<br><br>【改寫自：南島語族「多元路徑擴散」新研究 臧振華：臺灣不是唯一出口，Ettoday新聞雲 https://www.ettoday.net/news/20171106/1046006.htm#ixzz5Yh3jJCvp】,teachers_book,原住民,文化,"[多元路徑擴散說, 臺灣起源論, 樹皮布文化, 構樹, 華南地區]",V.1/Ch.1/臺灣的原住民族,南島語族起源另一說——「多元路徑擴散說」,,,
3,19世紀以來，學者透過體質、語言與文化等特質去了解南島語族。像是在西太平洋與部分非洲地區均有普遍使用的樹皮布，是南島語族重要的文化代表物。雖然現在樹皮布已非生活必需品，然而樹皮布文化依舊深植於南島語族人的傳統中。例如樹皮布製作的樹皮衣，在玻里尼西亞地區的上層社會仍有極大的象征意義，直到現在，印尼蘇拉威西北部、東加、薩摩亞、斐濟及夏威夷等地都為了儀式而持續製作樹皮布。<br><br>【改寫自：鄧聰，〈古代香港樹皮布文化發展及其意義淺釋〉《東南亞文化》1997年第1期，pp.30～37】,teachers_book,原住民,文化,"[樹皮布, 南島語族, 文化代表物, 玻里尼西亞, 儀式]",V.1/Ch.1/臺灣的原住民族,樹皮布文化搭起南島語族之間的聯繫,,,
4,太平洋藝術節為「太平洋共同體秘書處」所舉辦之四年一度的盛會，從第一屆至今已經有40餘年的歷史。其成立起因於1960年代以後，南太平洋諸島嶼紛紛獨立為新興國家，欲擺脫區域外強權主導的想法日漸高升，因而在1972年於斐濟舉辦第一屆「南太平洋藝術節」，後更名為「太平洋藝術節」。太平洋上各島國的南島語族即透過此活動分享彼此的文化、樂舞、工藝、語言等等，加強對彼此的認識。臺灣自2004年起，由民間表演團體開始參加活動，至2016年由關島舉辦的第13屆太平洋藝術節，首次以國家名義組團參加南島民族的文化藝術饗宴。<br><br>【改寫自：官大偉，〈太平洋藝術節之歷史與現況〉《原教界·原住民族教育情報誌》，2016年10月號71期，p.12、14】,teachers_book,中華民國,文化,"[太平洋藝術節, 南島語族, 文化, 樂舞, 國家名義]",V.1/Ch.1/臺灣的原住民族,臺灣原住民族參與太平洋藝術節,,,
5,泰雅族族人自稱Atayal，意為「我們泰雅人」；布農族自稱 bunun tua，意指「真正的人」，以示與別族有所區別；鄒族稱 Tsou 取自北鄒語的tsou，是「人」的意思；排灣族人自稱先最早發跡於大武山的「ka-paiwan」。阿美族自稱是 Amis 和 Pangtsah 兩種。Amis適用於阿美族分布地域的南部，亦即「卑南阿美」和「恆春阿美」之中，意謂「北」，也就是「北方」。<br><br>【引用自：馬淵東一著、楊南郡譯註，《臺灣原住民族移動與分布》（臺北：行政院原住民族委員會，2014），pp.23～28】,teachers_book,原住民,文化,"[泰雅族, Atayal, 布農族, 鄒族, 阿美族]",V.1/Ch.1/臺灣的原住民族,原住民族的族名意義,,,
6,| 書名 | 作者 | 內容 |<br>| :--- | :--- | :--- |<br>| **東番記** | 陳第（1603） | 作者陳第以儒家「父權社會」的價值觀來衡量臺灣「東番」的母系社會現象，雖難免有失客觀，但其中記載西拉雅族的文化史料彌足珍貴，是目前所知描寫臺灣原住民最早的著作 |<br>| **福爾摩沙島略記** | 荷蘭傳教士甘治士（1627） | 記載西拉雅族的政治組織與社會風俗等，可對照《東番記》，比對不同文化背景下的紀錄視角 |<br>| **關於艾爾摩莎島情況的報告** | 西班牙傳教士艾斯奇維（1632） | 文中有述及北臺灣的礦產與原住民的互動貿易和文化觀察，並藉此提出對西班牙長官殖民臺灣的建議 |,teachers_book,大航海時代,文化,"[東番記, 陳第, 福爾摩沙島略記, 甘治士, 艾斯奇維]",V.1/Ch.1/臺灣的原住民族,透過文獻認識早期臺灣的原住民族,,,
7,清代以下列三項條件，將原住民進行分類：<br>| | |<br>| :--- | :--- |<br>| **遵從教化** | 服從官府政令，子弟進入私塾接受教育 |<br>| **服徭役** | 如遞送公文、搬運、抬轎、工事等勞役 |<br>| **納稅餉** | 按照鄭氏王朝的舊例，上繳丁口餉，若子弟能到鄉塾讀書，則可免除，以示鼓勵 |<br>未符合上述三者的化外之民為「生番」，又稱「野番」、「山番」。他們主要分布於淺山與高山地區，直到19世紀末清廷實施「開山撫番」以前，他們一直被隔離於「番界」之外，受外來文化的影響較小。至於同時具備三項條件者，則為「熟番」。<br><br>【改寫自：許雪姬總策劃，《臺灣歷史辭典》（臺北：文建會，2004），p.264】,teachers_book,清治臺灣,政治,"[生番, 熟番, 教化, 徭役, 納稅餉]",V.1/Ch.1/臺灣的原住民族,清代區別生番與熟番的方式,,,
8,由於1923年裕仁皇太子訪臺時，認為「生蕃」的稱呼有歧視之意，建議改為「高砂族」較恰當，當時的報紙《臺灣日日新報》因而開始多以「高砂族」稱呼原住民，直到1935年才正式落實在官方文書上。然而，將臺灣原住民進行學術上的分類，則始自日本學者。<br>| 學者 | 分類 |<br>| :--- | :--- |<br>| **伊能嘉矩**<br>**粟野傳之丞** | 分成泰雅、布農、鄒、排灣、澤利先（魯凱）、漂馬（卑南）、阿美、平埔等八族 |<br>| **鳥居龍藏** | 較伊能、粟野二氏多了邵族與雅美族（達悟） |<br>| **移川子之藏**<br>**宮本延人**<br>**馬淵東一** | 扣除平埔，將臺灣原住民分為九族，且其分類中清晰完整地列出各族內的亞群，成為原住民族的官方分類 |<br>| **鹿野忠雄** | 1939年提出另一種複雜分類法，頗似淺井惠倫之分類，涉及種族、語言、文化等廣泛基礎 |<br><br>【改寫自：高育仁，《重修臺灣省通志（卷3）：住民志・同冑篇》（南投：國史館臺灣文獻館，1995），pp.2～3】,teachers_book,日治臺灣,政治,"[高砂族, 伊能嘉矩, 鳥居龍藏, 學術分類, 官方分類]",V.1/Ch.1/臺灣的原住民族,日治時期針對原住民族的學術分類,,,
9,1895～1906年來臺進行調查，著有《臺灣蕃人事情》、《臺灣蕃政志》、《臺灣志》等書，返日後又繼續研究，最後完成《臺灣文化志》，是一本關於臺灣族群、文化、歷史、典章制度等的一本百科全書，故人稱「臺史公」。1898～1899年，伊能嘉矩依照各族文化、語言、風俗習慣等差異，將臺灣原住民分為泰雅、阿美、布農、鄒、澤利先、排灣、漂馬、平埔，共八族，打破以往籠統生番、熟番的劃分法，又將平埔族分為八族，為將臺灣原住民分類的第一人，他的分類法在日治時期一直被官方文書所採用。<br><br>【改寫自：伊能嘉矩原著、楊南郡譯註，《平埔族調查旅行：伊能嘉矩〈臺灣通信〉選集》（臺北：遠流，1996），pp.5～10】,teachers_book,日治臺灣,文化,"[伊能嘉矩, 臺灣文化志, 臺史公, 分類, 平埔族]",V.1/Ch.1/臺灣的原住民族,伊能嘉矩,,,
10,統治者基於統治的需求而對原住民進行分類，也讓原為各族群自稱的族名轉為以統治者意識的各類名稱。<br>| 時間 | 17世紀 | 清代統治時期 | 日治時期 | 中華民國政府 |<br>| :--- | :--- | :--- | :--- | :--- |<br>| | | | | **1954年** | **1994年** | **1997年** |<br>| **分類方式** | 未明確分類 | 依歸順程度 | 依照體質語言文化等概念 | 依分布區域 | 受世界正名運動影響 | 由個人擴大為群體 |<br>| **名稱** | 東番、土番 | 「生番」、「熟番」及「化番」三類 | 「平埔族」和「高砂族」 | 「平地山胞」、「山地山胞」 | 「原住民」 | 改為「原住民族」 |,teachers_book,原住民,政治,"[分類, 生番, 熟番, 高砂族, 原住民族]",V.1/Ch.1/臺灣的原住民族,臺灣歷史各時期對於原住民族的分類,,,
