P,D,question_num,text,answer,source_type,subject,topic,Bloom_level,keywords,,,,,,,,
81,31,110_18,"清廷治臺二百多年期間,多次調整臺灣地方行政區劃,其最主要的考量依據是:<br>(A)根據自然地理的形勢,分區管理<br>(B)根據交通線的延伸,作線狀開發<br>(C)因應民變,考量治安,置縣設廳<br>(D)隨漢人開發,設廳以保障原住民",C,學測單選題,清治臺灣,政治,了解,清廷/行政區劃/民變/治安/置縣設廳,,,,,,,,
64,33,110_19,"唐太宗下令大臣修《氏族志》,欲排定各姓氏等級。編成之後,太宗不滿意,指示重修時只需根據現在的官爵等第區分等級。修訂版將各姓氏分成九等級,以皇室為首,外戚次之。高宗時,宰相李義府門第寒微,想與山東士族結親被拒,乃上告高宗。唐高宗因此下令,山東士族「七姓十家不得自為婚」。唐代修訂《氏族志》、發布「禁婚令」,最主要目的是:<br>(A)擔憂士族通婚,聲氣相通,壟斷科舉考試晉身管道<br>(B)避免傳統士族透過聯姻結盟,禁婚壓抑其社會地位<br>(C)禁止士族近親通婚,避免造成人倫與社會關係混淆<br>(D)擔心士族通婚,擴大土地兼併,造成農民流離失所",B,學測單選題,隋唐,社會,了解,唐代/氏族志/士族/禁婚令/社會地位,,,,,,,,
71,25,110_20,"有人回憶:當時,食物都要配給,沒有咖啡,但有糖和紅茶。每次參加茶會,都要自備糖和茶葉。原本商店中還有牛油和乳酪,大多來自紐西蘭或加拿大,現在也少了。經常一個月也吃不上一斤肉,天天吃鱈魚。有一段時間,政府領導人還提倡自己種植糧食作物,解決糧食短缺問題。這最可能是何時何地的景象?<br>(A)一次世界大戰時的德國<br>(B)二次世界大戰時的英國<br>(C)文化大革命時期的中國<br>(D)首次石油危機時的伊朗",B,學測單選題,英國,社會,分析,二次世界大戰/英國/配給/糧食短缺/民生,,,,,,,,
44,29,110_21,"二十世紀初,一名道士在某處山洞中整理文物,發現許多自十六國到北宋以前的公私文書、大量的佛教典籍及繪畫作品。這些文件的書寫文字,除中文外,還有梵文和藏文等。許多外國學者聞風而至,購走大量文物,至今仍存於英、俄、法等國的國家博物館及圖書館。此山洞最可能位在:<br>(A)山西<br>(B)遼寧<br>(C)甘肅<br>(D)雲南",C,學測單選題,隋唐,文化,記憶,敦煌/佛教典籍/寫本/甘肅/絲路,,,,,,,,
20,8,110_22,"自 1943 年5月至 1944年7月間,日本帝國與臺灣總督府動員並組織超過兩萬名的臺灣青年,派遣至新幾內亞、菲律賓和印尼等地,擔任各種任務。這些臺灣青年最可能是:<br>(A)擔任突襲戰鬥任務的神風特攻隊<br>(B)擔任戰鬥任務的臺灣特別志願兵<br>(C)擔任軍機組裝工作的臺灣少年工<br>(D)擔任軍伕軍屬的臺灣特設勤勞團",D,學測單選題,日治臺灣,政治,記憶,二次世界大戰/臺灣總督府/軍伕/勤勞團/動員,,,,,,,,
50,69,110_23,"某一時期,許多知識分子研究軍事技術,紛紛著書立說,出版了《火輪船圖說》、《演炮圖說》、《西洋自來火銃制法》及《請仿西洋製造火藥疏》等書。這種情況最可能反映哪種思想?<br>(A)嚴守夷夏之防<br>(B)推動全盤西化<br>(C)師夷長技以制夷<br>(D)擴張軍國主義",C,學測單選題,明清,文化,了解,自強運動/師夷長技以制夷/軍事技術/西學/思想,,,,,,,,
64,41,110_24,"一位皇帝指示研商減稅事宜,隨即有大臣上奏:我朝前一陣子因為軍費支出甚多,政府財政有些不足,建議暫緩減稅政策。但皇帝認為:先前雲南、貴州、廣西、四川等省因大規模叛變,使得地方殘破不堪,田畝荒廢,財政才會短收。現在大亂已平,人口逐漸增加,荒地也逐一開墾,國用已經充足,就應與民休息。所以,仍決定減稅。這種情況最可能是:<br>(A)唐太宗親征高麗等地之後<br>(B)宋高宗與金簽訂和約之後<br>(C)明成祖發動靖難之役之後<br>(D)清聖祖平定三藩之亂之後",D,學測單選題,明清,政治,分析,清聖祖/康熙/三藩之亂/減稅/與民休息,,,,,,,,
47,51,110_25,"甲國企圖以經濟戰手段迫使乙國屈服,並保護自己的經濟發展,乃宣布禁止一切來自乙國的貨物登陸歐洲大陸;還在其統治區內,追查乙國商人並沒收乙國貨物,造成乙國經濟危機,引發社會動盪。但乙國尚有許多海外貿易,仍可支撐其經濟。這種情形最可能是:<br>(A)1651年,英國公布航海法,封鎖荷蘭貿易活動<br>(B)1806年,拿破崙為壓迫英國,發動對英國封鎖<br>(C)1917年,德國發動無限制潛艇作戰,封鎖英國<br>(D)1941年,美國對德國宣戰之後,封鎖德國貿易",B,學測單選題,法國,經濟,了解,拿破崙/大陸封鎖政策/英國/經濟戰/貿易,,,,,,,,
84,28,110_26,"1949年10月,共軍集中船隻對金門發動攻擊,遭守軍擊退。1950年3月,共軍又集結大批兵力,用類似「萬船齊發戰術」進攻海南島,迫使當地國軍撤守;5月底更攻占廣東萬山群島。共軍原本預定隨後再度對金門發動攻擊,但沒有多久就取消這項計畫。最可能的原因是:<br>(A)共軍軍備及船隻有限,已經無法再負擔長期作戰<br>(B)共軍顧忌金門兵力強大,寧可保持戰果故而避戰<br>(C)韓戰爆發,美國宣布派遣第七艦隊協助臺灣防務<br>(D)臺灣實施戒嚴,共軍乃轉以心戰策略來瓦解國軍",C,學測單選題,中華民國,政治,了解,韓戰/第七艦隊/金門/國共內戰/臺灣海峽,,,,,,,,
52,44,110_27,"十八世紀初,一位在中國傳教的法國傳教士於書信中描述,他所在的地區為群山中的平原,人口稠密,富人甚多。此地自西元一千年左右起已是重要的工業城,現有作坊三千座,產品不僅供應全中國,還外銷世界各地,數量驚人。這位傳教士詳述該地產品的製作過程,使歐洲人終得仿製成功。他所描述的產業最可能是:<br>(A)江西景德的瓷器製作<br>(B)浙江杭州的絲綢製品<br>(C)福建福州的武夷茶葉<br>(D)廣東沿海的醫療藥材",A,學測單選題,明清,經濟,分析,傳教士/景德鎮/瓷器/外銷/工業城,,,,,,,,
